time,low,high,open,close,volume
1546300800,146.11,152.91,147.99,151.35,3842.55275673
1546304400,149.23,151.83,151.22,149.79,1269.69288699
1546308000,149.79,152.95,149.88,151.82,2364.61194776
1546311600,152,159.92,152,158.9,3628.24395226
1546315200,158.15,165,158.91,159.28,7549.10625051
1546318800,158.01,160.43,159.28,158.49,1612.4787314
1546322400,157,159.96,158.38,158.87,1443.17505201
1546326000,159.05,162.65,159.15,161.77,1309.76510622
1546329600,160.38,163,161.76,161.74,1955.61375611
1546333200,158.07,161.91,161.72,158.07,871.93882355
1546336800,158.33,160.46,158.39,159.96,325.64604722
1546340400,158.9,161,159.82,159.18,384.06975781
1546344000,158.75,159.48,159.18,159.35,273.50214218
1546347600,158.28,160.18,159.36,158.83,756.24023298
1546351200,156.3,158.55,158.51,156.52,1281.71022693
1546354800,154.15,157,156.51,156,1306.6492929
1546358400,156,158.47,156.01,158.4,624.60898509
1546362000,156.5,158.49,158.4,157.27,349.5669163
1546365600,154.07,157.3,157,155.32,1214.32243703
1546369200,155.34,160.3,155.34,159.17,2105.09650053
1546372800,158.99,162.51,159.16,161.61,3620.40662359
1546376400,159.47,162.01,161.6,159.48,1233.56732909
1546380000,159.03,160.76,159.48,160.52,1154.86809176
1546383600,160.07,165,160.51,163.66,4035.14580604
1546387200,161,164.1,163.6,162.37,1469.3220286
1546390800,162.04,166,162.37,162.2,2865.18892542
1546394400,162.2,163.39,162.2,162.4,954.04528224
1546398000,161.81,163.29,162.4,161.81,1179.00372779
1546401600,161.53,162.85,161.84,162.3,676.50812143
1546405200,161.67,162.9,162.31,161.84,419.48656018
1546408800,159.51,161.93,161.92,159.94,1178.37239287
1546412400,160.01,162.59,160.05,160.92,628.44629389
1546416000,160.71,163.5,160.71,162.36,770.25811327
1546419600,161.59,162.61,162.15,162.01,336.29834797
1546423200,161.01,163.11,162.01,162.67,449.28813503
1546426800,162.01,165,162.67,163.49,1843.6054451
1546430400,162.01,163.56,163.49,163.05,879.70175847
1546434000,163.05,166.04,163.05,165.63,2662.35785131
1546437600,163.26,165.62,165.5,164.22,2610.06486272
1546441200,161.01,164.36,164.36,162.17,2901.008399
1546444800,162.12,165.5,162.46,163.97,4668.889496
1546448400,163,164.97,164.08,164.3,1805.78706501
1546452000,163.14,164.55,164.3,164,1510.66301726
1546455600,163.32,164.45,164.18,164,797.53259155
