time,low,high,open,close,volume
1546300800,3680.63,3701.73,3691.87,3691.89,579.73912815
1546304400,3666.4,3693.67,3691.89,3676.66,734.83960847
1546308000,3666.3,3679,3676.66,3674,423.75196336
1546311600,3673.99,3684,3674,3682,410.51930267
1546315200,3678.25,3700,3681.03,3681.8,526.4253233
1546318800,3681.8,3690,3681.81,3690,256.47906156
1546322400,3689,3694.98,3690,3691.35,406.80706602
1546326000,3691.35,3715,3691.35,3701.91,419.35864295
1546329600,3700.94,3725,3701.9,3713.45,174.81982495
1546333200,3690,3713.44,3712.71,3695.08,169.97933335
1546336800,3689.39,3707.97,3693.25,3707.36,60.18056211
1546340400,3702,3716.02,3707.36,3702.55,94.30770964
1546344000,3699,3716.05,3702.55,3715.67,75.4123668
1546347600,3709.85,3745,3715.67,3718.33,254.563707
1546351200,3690,3718.33,3718.32,3695.89,661.13982417
1546354800,3671.36,3697.21,3695.88,3679.07,697.04778084
1546358400,3677.04,3695,3679.07,3694.52,193.14211873
1546362000,3680,3702.4,3694.52,3690.06,640.79141388
1546365600,3651.02,3690.06,3690.05,3664.31,582.53149289
1546369200,3664.3,3699,3664.31,3699,266.79769725
1546372800,3699,3736,3699,3724.04,630.30130586
1546376400,3715,3737.09,3724.04,3722.51,395.03083539
1546380000,3712.57,3724,3722.61,3719.99,222.0432483
1546383600,3716.08,3841.17,3719.98,3826.1,1936.87567061
1546387200,3790.6,3838.3,3826.1,3801.9,622.87227874
1546390800,3790.85,3806,3801.9,3793,295.69043256
1546394400,3791.95,3806,3793,3801,247.01665717
1546398000,3799.75,3809.99,3801,3801.37,232.7002425
1546401600,3790.29,3804.96,3801.36,3800.01,214.29014858
1546405200,3796,3801.2,3800.01,3800.01,99.11809415
1546408800,3770.07,3800,3800,3778.02,303.02713499
1546412400,3778.02,3797.46,3778.03,3794.99,366.3644361
1546416000,3789.9,3809.99,3794.99,3802.06,203.13712038
1546419600,3789,3802.06,3802.06,3793.77,194.73844647
1546423200,3789.96,3810,3793.77,3804,211.08947915
1546426800,3801.01,3830.02,3804,3808.51,265.27283767
1546430400,3798.46,3815.5,3808.51,3814.71,168.6544721
1546434000,3812.82,3853,3814.71,3841.89,516.18321353
1546437600,3817.05,3847.92,3841.9,3829.79,479.17747298
1546441200,3810,3829.99,3829.79,3816.94,442.14572547
1546444800,3811.44,3886.64,3816.04,3850.38,1255.16294864
1546448400,3836.4,3864.95,3850.38,3850.2,418.75448331
1546452000,3837,3852.52,3850.19,3850,528.29766342
1546455600,3820,3850,3849.98,3846,379.1982472
1546459200,3839.47,3878.77,3846,3876.63,498.47068156
1546462800,3858.43,3899,3876.62,3884.63,705.80970785
1546466400,3877,3910,3884.61,3894.21,510.7088542
