time,low,high,open,close,volume
1554829200,5.563,5.621,5.602,5.617,9323.4
1554832800,5.6,5.69,5.626,5.687,9051.4
1554836400,5.588,5.689,5.687,5.611,7791.5
1554840000,5.595,5.652,5.601,5.608,2642.8
1554843600,5.582,5.639,5.621,5.582,6451.7
1554847200,5.55,5.587,5.58,5.569,9431.7
1554850800,5.536,5.588,5.569,5.568,2662.1
1554854400,5.56,5.606,5.577,5.597,1566.3
1554858000,5.608,6.096,5.609,5.891,38865.6
1554861600,5.81,6.008,5.89,5.821,28898.8
1554865200,5.722,5.848,5.821,5.756,28752
1554868800,5.784,5.843,5.784,5.81,10720.2
1554872400,5.803,5.86,5.803,5.86,3686.3
1554876000,5.845,5.994,5.859,5.867,17043.1
1554879600,5.815,5.843,5.843,5.825,370.5
1554883200,5.802,5.85,5.846,5.85,5706.9
1554886800,5.85,5.863,5.85,5.851,2445
1554890400,5.8,5.871,5.85,5.871,1784.3
1554894000,5.864,5.892,5.88,5.864,1936
1554897600,5.864,6.049,5.864,5.999,15786.6
1554901200,5.898,6.004,6.004,5.913,8920.8
1554904800,5.905,5.985,5.914,5.914,4453
1554908400,5.91,5.998,5.92,5.985,7679.7
1554912000,5.865,6.023,5.996,5.872,8810.3
1554915600,5.873,5.934,5.888,5.93,7496
1554919200,5.85,6,5.91,5.876,31359
1554922800,5.853,5.909,5.892,5.853,6143
1554926400,5.566,5.866,5.864,5.781,25834.5
1554930000,5.72,5.807,5.77,5.733,10393.6
1554933600,5.703,5.856,5.742,5.856,9804
1554937200,5.79,5.949,5.79,5.869,15443.8
1554940800,5.773,5.859,5.857,5.795,8532.8
1554944400,5.744,5.783,5.783,5.769,5599.9
1554948000,5.7,5.759,5.754,5.725,10054.8
1554951600,5.5,5.72,5.72,5.588,29170.5
1554955200,5.519,5.692,5.587,5.645,8272.9
1554958800,5.614,5.636,5.635,5.636,306.2
1554962400,5.643,5.667,5.666,5.663,1878.8
1554966000,5.614,5.649,5.618,5.633,1017.9
1554969600,5.55,5.601,5.582,5.561,259.8
1554973200,5.401,5.614,5.614,5.5,9919.2
1554976800,5.443,5.518,5.49,5.449,4977.9
1554980400,5.12,5.457,5.457,5.3,20988.5
1554984000,5.251,5.355,5.286,5.329,3235.4
1554987600,5.29,5.327,5.32,5.29,288.3
1554991200,5.237,5.322,5.28,5.303,4187.7
1554994800,5.169,5.323,5.314,5.2,10734.9
1554998400,5.154,5.261,5.21,5.25,8198.1
1555002000,5.2,5.241,5.241,5.232,1182.7
1555005600,5.25,5.357,5.25,5.281,9036.7
1555009200,5.272,5.339,5.29,5.28,2570.5
1555012800,5.227,5.275,5.275,5.227,1077.9
1555016400,5.222,5.231,5.227,5.231,179.1
1555020000,5.172,5.344,5.221,5.334,8088.4
1555023600,5.29,5.35,5.315,5.31,7216
1555027200,5.293,5.322,5.293,5.304,677.8
1555030800,5.086,5.293,5.27,5.165,14897.9
1555034400,5.152,5.253,5.152,5.236,589.8
1555038000,5.209,5.329,5.235,5.329,4610.7
1555041600,5.289,5.352,5.331,5.289,1605.7
1555045200,5.255,5.296,5.287,5.29,988.7
1555048800,5.292,5.306,5.306,5.303,4343.9
1555052400,5.301,5.324,5.301,5.323,853.5
1555056000,5.242,5.341,5.326,5.272,2349.8
1555059600,5.283,5.304,5.298,5.304,1286.2
1555063200,5.288,5.415,5.31,5.415,1556.3
1555066800,5.39,5.461,5.415,5.396,959.3
1555070400,5.399,5.433,5.419,5.42,3677.1
1555074000,5.358,5.449,5.426,5.367,5963.8
1555077600,5.351,5.41,5.375,5.407,1892.3
1555081200,5.35,5.421,5.408,5.35,6774.8
1555084800,5.308,5.386,5.348,5.364,1546.6
1555088400,5.35,5.421,5.366,5.364,8574.4
1555092000,5.346,5.36,5.36,5.347,1357.6
1555095600,5.32,5.345,5.338,5.331,5725.5
1555099200,5.3,5.338,5.33,5.338,2496.8
1555102800,5.346,5.38,5.346,5.38,1146.4
1555106400,5.36,5.384,5.368,5.36,670.1
1555110000,5.378,5.43,5.392,5.392,5480.4
1555113600,5.356,5.378,5.359,5.361,1857.9
1555117200,5.368,5.392,5.368,5.392,130.7
1555120800,5.381,5.472,5.392,5.407,4025.8
1555124400,5.4,5.483,5.407,5.4,5468.7
1555128000,5.381,5.413,5.412,5.391,3192.9
1555131600,5.369,5.407,5.391,5.407,6220.3
1555135200,5.38,5.396,5.396,5.38,104.7
1555138800,5.353,5.411,5.386,5.353,1784.4
1555142400,5.343,5.377,5.377,5.372,63.2
1555146000,5.348,5.372,5.372,5.348,21.1
1555149600,5.239,5.339,5.339,5.264,3757.2
1555153200,5.275,5.313,5.283,5.275,1501
1555156800,5.296,5.318,5.299,5.309,919.5
1555160400,5.263,5.295,5.293,5.288,4655.7
1555164000,5.275,5.352,5.275,5.347,2617.4
1555167600,5.332,5.379,5.358,5.342,768.3
1555171200,5.301,5.329,5.32,5.311,1804.5
1555174800,5.294,5.323,5.312,5.294,1025.6
1555178400,5.309,5.325,5.321,5.309,759.3
1555182000,5.295,5.315,5.311,5.295,286.6
1555185600,5.281,5.316,5.294,5.31,685.6
1555189200,5.28,5.31,5.291,5.31,1656.6
1555192800,5.294,5.324,5.308,5.324,1222.4
1555196400,5.315,5.343,5.315,5.327,856.3
1555200000,5.33,5.347,5.33,5.347,103.2
1555203600,5.33,5.349,5.331,5.33,198.8
1555207200,5.279,5.318,5.318,5.279,9281.6
1555210800,5.289,5.299,5.291,5.289,238.7
1555214400,5.279,5.294,5.279,5.28,979.5
1555218000,5.25,5.29,5.29,5.281,820.7
1555221600,5.251,5.269,5.26,5.269,319.5
1555225200,5.259,5.314,5.27,5.314,3425.7
1555228800,5.286,5.323,5.304,5.286,774.5
1555232400,5.286,5.322,5.29,5.322,147.9
1555236000,5.312,5.359,5.333,5.347,2129.3
1555239600,5.311,5.348,5.348,5.337,447.8
1555243200,5.286,5.319,5.319,5.319,260.4
1555246800,5.32,5.342,5.32,5.329,46.5
1555250400,5.306,5.329,5.329,5.306,320.2
1555254000,5.308,5.328,5.319,5.325,424.7
1555257600,5.304,5.375,5.341,5.306,8575.6
1555261200,5.306,5.328,5.306,5.328,493.8
1555264800,5.324,5.333,5.324,5.333,36.8
1555268400,5.322,5.333,5.333,5.322,872.3
1555275600,5.333,5.352,5.333,5.352,158.7
1555279200,5.348,5.598,5.359,5.537,17038.7
1555282800,5.497,5.598,5.553,5.574,6714.4
1555286400,5.518,5.619,5.575,5.556,13113.4
1555290000,5.557,5.628,5.557,5.592,3824.6
1555293600,5.555,5.605,5.595,5.565,2529.7
1555297200,5.544,5.576,5.553,5.563,4475.6
1555300800,5.561,5.6,5.561,5.587,2127.1
1555304400,5.556,5.585,5.585,5.556,966.8
1555308000,5.564,5.589,5.565,5.586,1249.4
1555311600,5.506,5.581,5.581,5.532,2142.3
1555315200,5.511,5.549,5.535,5.511,559.1
1555318800,5.529,5.55,5.53,5.55,139.9
1555322400,5.43,5.53,5.53,5.43,1390.9
1555326000,5.428,5.46,5.445,5.46,2321.4
1555329600,5.4,5.463,5.42,5.45,2654.5
1555333200,5.44,5.459,5.454,5.459,327
1555336800,5.438,5.58,5.451,5.472,6342.8
1555340400,5.473,5.515,5.487,5.499,1793.4
1555344000,5.437,5.509,5.509,5.437,9789.5
1555347600,5.236,5.438,5.438,5.3,8617.4
1555351200,5.285,5.33,5.3,5.306,2148.1
1555354800,5.238,5.317,5.317,5.295,1730.6
1555358400,5.279,5.326,5.28,5.324,1220.2
1555362000,5.301,5.341,5.324,5.306,1658.2
1555365600,5.31,5.343,5.31,5.332,254.3
1555369200,5.334,5.373,5.342,5.334,380.8
1555372800,5.325,5.335,5.327,5.333,284.9
1555376400,5.341,5.388,5.341,5.364,709.6
1555380000,5.342,5.367,5.357,5.342,2120.2
1555383600,5.343,5.359,5.343,5.358,1336.4
1555387200,5.358,5.385,5.358,5.367,527.4
1555390800,5.357,5.386,5.372,5.386,566.1
1555394400,5.352,5.377,5.377,5.364,470.3
1555398000,5.344,5.366,5.344,5.354,1115.8
1555401600,5.373,5.409,5.38,5.409,1297.7
1555405200,5.384,5.416,5.405,5.405,81.8
1555408800,5.366,5.409,5.409,5.366,129.9
1555412400,5.333,5.415,5.364,5.415,1038.2
1555416000,5.357,5.406,5.404,5.357,370
1555419600,5.306,5.369,5.369,5.306,757
1555423200,5.295,5.389,5.304,5.371,4014.7
1555426800,5.348,5.415,5.372,5.414,1033.7
1555430400,5.37,5.406,5.406,5.375,2785
1555434000,5.376,5.547,5.376,5.542,1868.8
1555437600,5.458,5.515,5.51,5.458,3447.3
1555441200,5.456,5.506,5.456,5.483,4526.2
1555444800,5.466,5.489,5.48,5.482,778.8
1555448400,5.461,5.507,5.476,5.498,1806.7
1555452000,5.49,5.504,5.493,5.49,590.2
1555455600,5.49,5.549,5.49,5.537,1435.3
1555459200,5.526,5.63,5.532,5.548,6256.4
1555462800,5.478,5.511,5.498,5.503,1657.5
1555466400,5.49,5.538,5.514,5.491,3389.2
1555470000,5.445,5.512,5.489,5.51,2213.1
1555473600,5.488,5.5,5.5,5.488,470.4
1555477200,5.458,5.488,5.488,5.465,1712.8
1555480800,5.454,5.475,5.46,5.469,779.2
1555484400,5.466,5.492,5.466,5.489,139.3
1555488000,5.408,5.46,5.454,5.435,513.3
1555491600,5.432,5.463,5.433,5.453,357
1555495200,5.43,5.495,5.451,5.463,2322.1
1555498800,5.451,5.5,5.461,5.494,2582.7
1555502400,5.408,5.45,5.45,5.421,375.5
1555506000,5.401,5.447,5.404,5.421,663.3
1555509600,5.407,5.437,5.419,5.437,1079.1
1555513200,5.427,5.434,5.431,5.427,1139
1555516800,5.391,5.425,5.416,5.399,1361.6
1555520400,5.394,5.417,5.394,5.417,402.3
1555524000,5.393,5.419,5.413,5.405,484.8
1555527600,5.396,5.443,5.414,5.443,3534.4
1555531200,5.42,5.476,5.422,5.447,2577.9
1555534800,5.449,5.463,5.456,5.462,348.2
1555538400,5.429,5.453,5.453,5.444,2126.8
1555542000,5.429,5.459,5.44,5.453,1214.3
1555545600,5.449,5.477,5.449,5.468,1633.1
1555549200,5.455,5.599,5.455,5.53,8293.5
1555552800,5.505,5.551,5.524,5.516,5792.1
1555556400,5.523,5.54,5.526,5.528,2427.6
1555560000,5.531,5.549,5.54,5.542,809.8
1555563600,5.511,5.529,5.523,5.511,1630.8
1555567200,5.492,5.511,5.511,5.506,2483.4
1555570800,5.487,5.511,5.503,5.49,481.8
1555574400,5.48,5.488,5.481,5.488,502
1555578000,5.456,5.477,5.47,5.471,181.2
1555581600,5.451,5.496,5.48,5.451,173.7
1555585200,5.439,5.464,5.46,5.443,448.8
1555588800,5.448,5.472,5.448,5.472,181.1
1555592400,5.46,5.485,5.466,5.471,1052.3
1555596000,5.449,5.474,5.474,5.455,1385.4
1555599600,5.458,5.492,5.461,5.485,1805.3
1555603200,5.471,5.494,5.485,5.492,3792.7
1555606800,5.489,5.521,5.506,5.508,2008.4
1555610400,5.501,5.522,5.502,5.505,2167.2
1555614000,5.495,5.543,5.502,5.522,5447.3
1555617600,5.512,5.542,5.521,5.542,3789.1
1555621200,5.51,5.533,5.524,5.513,1446.4
1555624800,5.508,5.533,5.513,5.508,4545.5
1555628400,5.476,5.504,5.504,5.486,3778.1
1555632000,5.47,5.487,5.487,5.472,913.4
1555639200,5.425,5.425,5.425,5.425,3.6
1555642800,5.398,5.439,5.413,5.419,5072.1
1555646400,5.429,5.447,5.429,5.447,5379.6
1555650000,5.43,5.438,5.438,5.43,171.7
1555653600,5.441,5.464,5.452,5.464,1194.9
1555657200,5.456,5.46,5.46,5.456,55.1
1555660800,5.442,5.468,5.464,5.468,1921.9
1555664400,5.47,5.476,5.47,5.476,2033.1
1555668000,5.448,5.476,5.476,5.448,1361
1555671600,5.455,5.464,5.455,5.464,1835.1
1555675200,5.455,5.461,5.461,5.455,470.8
1555678800,5.45,5.45,5.45,5.45,18.3
1555682400,5.44,5.451,5.449,5.443,1625.2
1555686000,5.44,5.467,5.452,5.459,5313
1555689600,5.444,5.5,5.462,5.451,2663.8
1555693200,5.441,5.457,5.45,5.45,1144.8
1555696800,5.45,5.454,5.451,5.454,313.5
1555700400,5.457,5.464,5.457,5.461,95.8
1555704000,5.454,5.464,5.461,5.457,268
1555707600,5.459,5.472,5.459,5.472,193.6
1555711200,5.442,5.464,5.464,5.446,614.7
1555714800,5.46,5.498,5.461,5.488,265.4
1555718400,5.469,5.494,5.491,5.471,1092.6
1555722000,5.467,5.49,5.476,5.478,3806.9
1555725600,5.48,5.505,5.48,5.482,3878.6
