time,low,high,open,close,volume
1546300800,4.95,5.01,4.98,4.98,5091.79410052
1546304400,4.95,4.99,4.97,4.96,2013.07878371
1546308000,4.93,4.98,4.96,4.94,3621.25325298
1546311600,4.93,4.98,4.94,4.98,2729.26047934
1546315200,4.97,5.04,4.98,5,9156.95701138
1546318800,4.99,5.09,5,5.04,3068.72493229
1546322400,5.01,5.05,5.05,5.04,1087.39860875
1546326000,5.03,5.09,5.05,5.06,3954.61066224
1546329600,5.07,5.11,5.07,5.1,2266.89294974
1546333200,5.04,5.11,5.11,5.04,4021.87142347
1546336800,5.03,5.08,5.06,5.06,829.02749256
1546340400,5.05,5.08,5.07,5.05,490.60585342
1546344000,5.04,5.06,5.05,5.06,2242.55389248
1546347600,5.05,5.08,5.05,5.06,1014.97693663
1546351200,4.99,5.06,5.06,5.01,22519.67142225
1546354800,4.99,5.03,5.02,4.99,3032.52095945
1546358400,4.99,5.01,4.99,4.99,1257.20155516
1546362000,4.99,5.03,4.99,5.02,3403.07130695
1546365600,4.95,5.02,5.02,4.95,6179.1674726
1546369200,4.96,5.04,4.96,5.04,6292.18829989
1546372800,5.04,5.11,5.04,5.11,13041.9157636
1546376400,5.08,5.12,5.1,5.08,3617.90041704
1546380000,5.08,5.11,5.09,5.1,2555.78249233
1546383600,5.09,5.25,5.1,5.25,61885.13429491
1546387200,5.18,5.29,5.25,5.21,11497.93437702
1546390800,5.17,5.22,5.22,5.19,3939.58434446
1546394400,5.16,5.21,5.17,5.19,5253.96155448
1546398000,5.18,5.21,5.2,5.18,2456.97717983
1546401600,5.18,5.21,5.19,5.21,1503.1382277
1546405200,5.18,5.21,5.21,5.19,1783.88651732
1546408800,5.16,5.2,5.2,5.17,2099.09176029
1546412400,5.17,5.21,5.17,5.21,3432.71782174
1546416000,5.21,5.26,5.21,5.23,12848.94633222
1546419600,5.2,5.23,5.22,5.22,1112.53351981
1546423200,5.2,5.27,5.22,5.25,5347.83018186
1546426800,5.23,5.28,5.25,5.28,4471.75335151
1546430400,5.25,5.29,5.28,5.27,4201.30238222
1546434000,5.26,5.35,5.27,5.34,13577.82375384
1546437600,5.28,5.36,5.35,5.31,8519.32384546
1546441200,5.26,5.32,5.3,5.27,7405.22655125
1546444800,5.28,5.36,5.28,5.34,10322.23838705
1546448400,5.3,5.35,5.34,5.33,17592.99231619
1546452000,5.29,5.34,5.34,5.32,4632.25269801
1546455600,5.27,5.34,5.32,5.32,12761.7237277
1546459200,5.3,5.36,5.33,5.36,5957.67833635
1546462800,5.33,5.38,5.35,5.37,16602.9681272
1546466400,5.31,5.39,5.37,5.39,24071.11612892
1546470000,5.35,5.42,5.39,5.35,6684.80967046
1546473600,5.28,5.37,5.35,5.31,10359.32071547
1546477200,5.29,5.32,5.31,5.31,5311.26612189
1546480800,5.31,5.35,5.32,5.32,3842.61609605
1546484400,5.3,5.34,5.33,5.32,14036.35209543
1546488000,5.31,5.35,5.33,5.31,2859.20842225
1546491600,5.27,5.33,5.31,5.3,4493.90481353
1546495200,5.27,5.3,5.29,5.27,651.27982749
1546498800,5.27,5.3,5.28,5.28,818.94494122
1546502400,5.2,5.29,5.28,5.2,4742.52304256
1546506000,5.17,5.23,5.2,5.21,3884.44564257
1546509600,5.2,5.22,5.21,5.21,1693.93320552
1546513200,5.11,5.22,5.21,5.13,4653.56947738
1546516800,5.11,5.15,5.14,5.14,5926.4757431
1546520400,5.13,5.18,5.14,5.17,8643.64806547
1546524000,5.15,5.2,5.17,5.16,15576.87925338
1546527600,5.13,5.16,5.15,5.15,8250.19928535
1546531200,5,5.16,5.15,5.01,13719.14073309
1546534800,5.01,5.09,5.02,5.06,11698.55514569
1546538400,5,5.06,5.05,5.03,14156.33379291
1546542000,4.98,5.04,5.03,5,9155.22670624
1546545600,4.99,5.05,5,5.03,7923.90410764
1546549200,5.03,5.07,5.04,5.04,8520.31276413
1546552800,4.99,5.08,5.03,5.06,15132.9594575
1546556400,5.02,5.07,5.07,5.03,2228.79429715
1546560000,4.99,5.03,5.03,5.01,10048.69837936
1546563600,5,5.03,5,5.03,1296.28060032
1546567200,5,5.03,5.03,5.03,7114.92276209
1546570800,5.02,5.12,5.03,5.12,5149.77166853
1546574400,5.09,5.13,5.12,5.11,6553.91632816
1546578000,5.11,5.15,5.12,5.15,2537.39083856
1546581600,5.14,5.18,5.15,5.16,2867.70003577
1546585200,5.13,5.16,5.16,5.13,4122.07571759
1546588800,5.09,5.13,5.13,5.09,1715.18124549
1546592400,5.03,5.09,5.09,5.03,2977.5219192
1546596000,5.03,5.07,5.04,5.07,1007.49220373
1546599600,5.04,5.08,5.07,5.04,1532.82883953
1546603200,5.02,5.06,5.04,5.06,1220.06017207
1546606800,5.03,5.08,5.05,5.04,2632.87414055
1546610400,4.99,5.06,5.05,5.04,11932.76929595
1546614000,4.99,5.05,5.04,5.04,7946.05488578
