time,low,high,open,close,volume
1546300800,130.48,131.91,130.66,131.62,8138.75004155
1546304400,130.77,131.62,131.58,130.79,3348.56927114
1546308000,129.55,130.88,130.8,130.06,6482.35342142
1546311600,130.06,130.79,130.06,130.75,3943.2989644
1546315200,130.74,133.99,130.75,131.96,21673.41293152
1546318800,132.05,132.58,132.12,132.48,2401.99872071
1546322400,132.48,133.3,132.48,133.19,3285.90473763
1546326000,132.89,133.99,133.19,133.25,3798.99300755
1546329600,133.23,135.07,133.25,134.6,4289.55200786
1546333200,133.29,134.75,134.6,133.58,2578.44075077
1546336800,133.54,133.79,133.79,133.68,493.80662871
1546340400,133.67,134.36,133.68,133.75,689.24583255
1546344000,133.34,134.45,133.75,134.45,2458.934233
1546347600,134.01,135.2,134.46,134.65,1696.16343249
1546351200,133.8,134.64,134.64,133.81,6052.10322317
1546354800,132.8,133.81,133.81,133.06,4082.41372989
1546358400,132.8,133.5,132.99,133.36,4075.62379498
1546362000,133.04,133.75,133.36,133.1,4118.45671704
1546365600,131.49,133.1,133.1,132.34,10668.07168212
1546369200,132.34,136.18,132.34,136,7823.07633404
1546372800,135.83,140.45,136,138.32,24413.37279369
1546376400,137.68,138.79,138.32,137.71,8379.75317012
1546380000,136.66,138.24,137.72,137.98,6272.53996922
1546383600,137.2,140.9,137.97,139.75,16487.57468894
1546387200,139.22,140.78,139.76,139.95,7872.09001585
1546390800,138.75,140.04,139.94,138.76,4330.41885038
1546394400,138.76,139.49,138.76,139.4,2008.19055183
1546398000,139.18,139.97,139.42,139.32,4974.12914884
1546401600,139.27,140.49,139.33,140.25,3436.68957545
1546405200,139.71,140.26,140.25,140.08,3475.57752232
1546408800,139.2,140.19,140.07,139.73,4378.8644553
1546412400,139.73,145,139.73,144.49,20706.85865236
1546416000,144.48,147,144.48,145.51,15867.02157785
1546419600,144.59,146.45,145.51,145.2,5248.67093089
1546423200,145.21,149.55,145.21,148.99,8564.81761291
1546426800,147.71,150,148.99,148.52,6538.10208175
1546430400,147.1,149,148.53,148.67,6543.65260446
1546434000,148.67,152.53,148.67,152.45,18439.34044401
1546437600,149.83,152.74,152.46,151.29,12498.94541557
1546441200,147.46,152,151.19,149.02,15292.7902169
1546444800,148.41,153.14,149.03,150.26,15944.72341478
1546448400,148.82,151.33,150.26,150.14,9802.61502867
1546452000,148.26,150.5,150.14,150.15,7318.04268384
1546455600,149.11,151.9,150.12,151.41,7142.55475668
1546459200,150.38,152.45,151.42,152.2,7900.20075414
1546462800,151.31,155.89,152.2,154.77,21659.41260552
1546466400,153.5,155.63,154.76,155.21,11087.25092732
1546470000,152.47,156.69,155.2,153.5,17295.59121165
1546473600,150.74,154.3,153.5,150.82,14167.54279748
1546477200,150.77,152.59,150.79,152.4,9203.63079581
1546480800,151.43,153.68,152.4,151.94,10848.63247995
1546484400,151.65,152.59,151.94,152.59,4286.63661183
1546488000,152.29,154.44,152.59,153.1,6888.51512341
1546491600,152,153.96,153.1,152.85,7304.32854977
1546495200,152.32,153.4,152.92,152.86,2670.63486338
1546498800,152.57,153.18,152.85,152.58,3350.53212009
1546502400,148.84,152.75,152.58,149.31,13863.11288842
1546506000,147.51,149.98,149.31,148.84,7939.58842428
1546509600,148.71,150.01,148.8,149.26,4651.12153713
1546513200,146.03,149.27,149.27,147.71,7880.75484954
1546516800,147.26,150.01,147.72,149.66,7281.67469383
1546520400,148.57,150.01,149.66,149.75,6756.59841567
1546524000,148.1,149.75,149.52,148.21,8375.05056228
1546527600,147.71,149.58,148.21,149.2,9177.72776822
1546531200,144.49,149.3,149.2,145.08,18885.06360716
1546534800,144.54,146.67,145.08,145.93,9489.92793479
1546538400,144.57,146.09,145.92,145.51,10205.48857789
1546542000,145.5,147,145.5,146.22,8420.92469117
1546545600,146,148.85,146.21,148.83,8913.45934666
1546549200,147,148.82,148.82,147.87,4998.14928576
1546552800,146.79,148.84,147.88,148.83,6959.73817381
1546556400,146.24,148.83,148.83,147.23,4603.75189424
1546560000,145.14,147.23,147.23,146.81,6960.18160056
1546563600,146.81,149.02,146.81,148.41,5399.69911074
1546567200,146.93,148.41,148.41,147.58,4440.51023356
1546570800,147.3,151.71,147.57,151.45,12123.8608402
1546574400,150.33,152.97,151.45,151.88,11977.98729302
1546578000,150.87,154.6,151.94,153.68,15098.19860006
1546581600,153.15,155.31,153.68,153.91,13228.13344911
1546585200,153.24,155.51,153.91,153.46,10794.6665633
1546588800,151.53,154.31,153.45,151.78,6871.11108687
1546592400,150.1,151.99,151.78,150.76,4055.10617202
1546596000,150.33,152.55,150.84,152.46,2576.28227061
1546599600,150.44,152.87,152.46,150.59,5913.34327983
1546603200,149.5,151.33,150.59,150.95,4891.57632921
1546606800,149.85,151.9,150.94,150.76,4483.98949842
1546610400,146.33,151.4,150.75,147.03,14343.53467651
1546614000,145.7,147.94,147.02,147.94,9112.90857624
1546617600,147.1,149.2,147.93,148.7,9462.82451427
1546621200,147.44,149.31,148.68,148.29,8914.51021118
1546624800,147.7,148.87,148.3,148.13,7375.89064143
1546628400,147.77,149.37,148.13,149.25,8296.02044441
1546632000,148.31,153.89,149.26,151.98,14309.22162878
1546635600,151.98,155,151.98,154.15,22944.096307
1546639200,152.83,154.9,154.16,153.36,10942.2893687
1546642800,152.5,153.92,153.36,153.24,5996.62800618
1546646400,153.23,160.5,153.24,159.44,34776.33461235
1546650000,156.77,160.62,159.44,159.42,22523.39668364
1546653600,157.73,160.2,159.4,158.78,12619.4651078
1546657200,157.68,159.5,158.79,158.94,6041.78267647
1546660800,158.4,159.77,158.93,158.41,7269.94766056
1546664400,158.4,159.49,158.4,159.11,5766.81259287
1546668000,155,159.19,159.11,156.13,17714.04104223
1546671600,154.26,156.52,156,154.65,7534.94976224
1546675200,154.66,156.21,154.66,155.7,3049.09118263
1546678800,155.3,156.45,155.7,155.88,870.52462106
1546682400,154,155.88,155.88,155.04,4749.20287991
1546686000,155.13,158.23,155.13,157.46,6078.72836343
1546689600,156.58,158.41,157.46,156.6,3779.08593354
1546693200,155.29,156.59,156.59,156.28,3623.97533764
1546696800,155.46,156.78,156.29,156.26,5588.41059132
1546700400,156.13,158.64,156.27,156.14,12148.03530466
1546704000,154.54,157.51,156.13,155.73,11871.10532954
1546707600,155.72,156.98,155.73,156.34,4698.69724212
1546711200,156.1,157.51,156.32,157.05,5257.05021905
1546714800,155.7,157.72,157.05,157.4,8333.49007257
1546718400,156.36,157.41,157.41,157,4122.37969576
1546722000,156.85,157.25,157.01,157.01,4075.34645291
