time,low,high,open,close,volume
1582653600,0.56,0.6597,0.5602,0.5783,1771058
1582657200,0.51,0.5898,0.5781,0.5339,961106
1582660800,0.5301,0.5416,0.5339,0.541,318791
1582664400,0.5388,0.5954,0.5388,0.5855,1247888
1582668000,0.5705,0.5881,0.5843,0.576,147201
1582671600,0.5555,0.5844,0.576,0.5597,153308
1582675200,0.55,0.5769,0.557,0.5508,144962
1582678800,0.5268,0.5542,0.552,0.5271,273110
1582682400,0.504,0.5277,0.5272,0.5092,397960
1582686000,0.4975,0.5201,0.5104,0.5101,253257
1582689600,0.5086,0.5187,0.5101,0.5185,56882
1582693200,0.516,0.5255,0.5163,0.5255,52259
1582696800,0.527,0.5317,0.5277,0.5313,22480
1582700400,0.516,0.5315,0.5315,0.5162,78924
1582704000,0.5125,0.5172,0.514,0.515,11185
1582707600,0.505,0.5164,0.515,0.5066,37526
1582711200,0.5054,0.5107,0.507,0.5073,13216
1582714800,0.4847,0.5074,0.5074,0.4854,137913
1582718400,0.4692,0.5,0.4865,0.4987,205370
1582722000,0.4749,0.5061,0.4992,0.4814,245797
1582725600,0.4662,0.4883,0.4764,0.475,238685
1582729200,0.4582,0.4767,0.4767,0.4582,86385
1582732800,0.4329,0.4612,0.4584,0.446,527440
1582736400,0.4422,0.4538,0.4486,0.4475,124557
1582740000,0.4438,0.4894,0.4439,0.4865,436876
1582743600,0.4698,0.4867,0.4842,0.4751,182937
1582747200,0.4685,0.4819,0.4758,0.475,205736
1582750800,0.4621,0.4752,0.475,0.4621,29012
1582754400,0.4618,0.4742,0.4618,0.4707,36332
1582758000,0.4707,0.4824,0.4707,0.475,19861
1582761600,0.4551,0.4749,0.4749,0.4551,44754
1582765200,0.4454,0.4635,0.4549,0.4635,162793
1582768800,0.4576,0.4635,0.4602,0.458,51372
1582772400,0.4575,0.467,0.458,0.4656,114623
1582776000,0.4623,0.4732,0.4628,0.4732,20317
1582779600,0.4727,0.483,0.4748,0.4789,34142
1582783200,0.4759,0.4868,0.4806,0.4868,123986
1582786800,0.487,0.5096,0.487,0.5,352616
1582790400,0.5,0.5153,0.5001,0.5097,15103
1582794000,0.5053,0.5178,0.5102,0.5119,58628
1582797600,0.4955,0.518,0.5119,0.503,244045
1582801200,0.5034,0.5246,0.5034,0.5217,176177
1582804800,0.5127,0.5337,0.523,0.5149,104056
1582808400,0.5129,0.5257,0.5134,0.5256,65146
1582812000,0.5214,0.5313,0.524,0.5301,93877
1582815600,0.53,0.5517,0.5301,0.548,432917
1582819200,0.5469,0.571,0.5469,0.5525,505168
1582822800,0.5453,0.5549,0.5549,0.55,129008
1582826400,0.5295,0.594,0.55,0.594,1177687
1582830000,0.564,0.6334,0.594,0.5743,3678341
1582833600,0.5742,0.6239,0.5743,0.6101,1636531
1582837200,0.5814,0.6275,0.6091,0.5966,1602769
1582840800,0.55,0.5971,0.5966,0.5728,1503353
1582844400,0.5216,0.5723,0.5707,0.5472,1373907
1582848000,0.5373,0.5765,0.5441,0.5581,1182890
1582851600,0.5465,0.5688,0.5581,0.5676,410476
1582855200,0.5567,0.5738,0.5676,0.567,439760
1582858800,0.5542,0.574,0.5662,0.559,411113
1582862400,0.5515,0.57,0.5583,0.5631,180496
1582866000,0.5516,0.5903,0.5631,0.5807,636905
1582869600,0.5748,0.5923,0.5797,0.5815,292754
1582873200,0.533,0.5846,0.5815,0.5358,412966
1582876800,0.53,0.5626,0.5364,0.53,287196
1582880400,0.5098,0.5306,0.5288,0.5109,389542
1582884000,0.5051,0.5209,0.5109,0.5182,136838
1582887600,0.5129,0.54,0.5183,0.5129,361267
1582891200,0.4863,0.5184,0.5163,0.5074,483845
1582894800,0.504,0.5399,0.5065,0.5313,457250
1582898400,0.5056,0.532,0.5313,0.523,405063
1582902000,0.5174,0.5273,0.5227,0.5267,373573
1582905600,0.5206,0.5286,0.525,0.5218,140128
1582909200,0.5132,0.5242,0.5218,0.522,123498
1582912800,0.5187,0.5297,0.5207,0.5253,154302
1582916400,0.515,0.53,0.5256,0.5259,179934
1582920000,0.5237,0.5341,0.5237,0.53,167007
1582923600,0.5269,0.5497,0.5279,0.5459,241513
1582927200,0.5349,0.5465,0.5433,0.545,285911
1582930800,0.5316,0.545,0.5449,0.5327,219198
1582934400,0.531,0.545,0.5336,0.5371,144248
1582938000,0.535,0.5402,0.5376,0.5353,137012
1582941600,0.5354,0.5761,0.5354,0.5633,449522
1582945200,0.5599,0.5835,0.5633,0.5691,603584
1582948800,0.5653,0.5765,0.5685,0.5712,202569
1582952400,0.5661,0.5795,0.5686,0.5795,187435
1582956000,0.5548,0.5837,0.5772,0.5602,238536
1582959600,0.5537,0.5717,0.5618,0.5711,143302
1582963200,0.566,0.5773,0.5711,0.5773,140754
1582966800,0.5746,0.5931,0.5776,0.59,480757
1582970400,0.5753,0.5963,0.5898,0.5777,322296
1582974000,0.5618,0.5821,0.5771,0.5815,136075
1582977600,0.5788,0.5939,0.5788,0.587,398186
1582981200,0.5746,0.595,0.5892,0.5948,540895
1582984800,0.5733,0.595,0.5948,0.5805,562382
1582988400,0.573,0.6129,0.5785,0.6057,967562
1582992000,0.5941,0.6125,0.6039,0.6026,885255
1582995600,0.59,0.6105,0.6026,0.6099,531744
1582999200,0.584,0.6299,0.6086,0.6254,1292619
1583002800,0.6114,0.6701,0.6227,0.6512,2897199
1583006400,0.61,0.652,0.6496,0.629,1137198
1583010000,0.6185,0.6489,0.6283,0.6436,588977
1583013600,0.639,0.6719,0.6478,0.6719,1269869
1583017200,0.6321,0.6899,0.6718,0.65,1736381
1583020800,0.6383,0.67,0.65,0.6601,1093140
1583024400,0.6485,0.71,0.66,0.6954,1748946
1583028000,0.6957,0.7496,0.6969,0.7348,3098111
1583031600,0.715,0.97,0.7347,0.829,6626709
1583035200,0.721,0.8499,0.829,0.78,6626073
1583038800,0.71,0.7776,0.7752,0.7238,2045368
1583042400,0.7169,0.8099,0.7237,0.7708,2026355
1583046000,0.7507,0.8402,0.77,0.8254,2048588
1583049600,0.7512,0.8888,0.8267,0.782,3808237
1583053200,0.7727,0.832,0.7816,0.8041,1482171
1583056800,0.7539,0.8064,0.8041,0.8,979863
1583060400,0.7649,0.8027,0.7965,0.7968,728611
1583064000,0.7428,0.8035,0.7968,0.757,895916
1583067600,0.7229,0.7942,0.757,0.771,1157520
1583071200,0.757,0.8376,0.772,0.8047,1534059
1583074800,0.7604,0.8077,0.8007,0.7695,928293
1583078400,0.7632,0.8042,0.7695,0.7829,1067095
1583082000,0.774,0.87,0.7862,0.8328,2831694
1583085600,0.8123,0.8518,0.8328,0.8438,1625394
1583089200,0.8145,0.85,0.847,0.843,1303196
1583092800,0.835,0.8664,0.843,0.8549,1230615
1583096400,0.825,0.8537,0.851,0.8275,969109
1583100000,0.7666,0.8476,0.8306,0.8043,1216660
1583103600,0.7828,0.8297,0.7973,0.79,679363
1583107200,0.7121,0.7902,0.7902,0.7291,2307298
1583110800,0.7278,0.79,0.7278,0.7731,1298285
1583114400,0.7503,0.81,0.7705,0.7918,832396
1583118000,0.75,0.8027,0.7955,0.7504,848179
1583121600,0.73,0.7662,0.7503,0.7584,747346
1583125200,0.7279,0.7712,0.76,0.7414,545992
1583128800,0.696,0.7588,0.7395,0.7134,1091796
1583132400,0.6805,0.7215,0.7134,0.7032,1078533
1583136000,0.6816,0.7129,0.7027,0.6827,507773
1583139600,0.6837,0.7089,0.6841,0.696,372661
1583143200,0.6721,0.7024,0.6978,0.6874,623206
1583146800,0.685,0.7052,0.6881,0.6883,459907
1583150400,0.6873,0.7398,0.6882,0.736,754293
1583154000,0.7324,0.78,0.7324,0.745,894432
1583157600,0.7106,0.7495,0.7451,0.7182,816171
1583161200,0.6962,0.7291,0.7203,0.712,1017236
1583164800,0.674,0.7258,0.7122,0.678,1265056
1583168400,0.6417,0.7191,0.6786,0.694,2498597
1583172000,0.69,0.7171,0.6936,0.7171,651557
1583175600,0.7022,0.7297,0.7115,0.7239,701826
1583179200,0.6927,0.74,0.724,0.7035,875320
1583182800,0.692,0.7335,0.7035,0.7185,611512
1583186400,0.6921,0.726,0.7189,0.6999,342220
1583190000,0.6855,0.7071,0.7016,0.7044,293873
1583193600,0.6934,0.7137,0.706,0.7021,302284
1583197200,0.702,0.7178,0.7057,0.7032,200495
1583200800,0.7008,0.7132,0.703,0.7105,161895
1583204400,0.7067,0.717,0.7105,0.7102,228992
1583208000,0.71,0.732,0.7105,0.732,261844
1583211600,0.7179,0.7341,0.732,0.7205,237355
1583215200,0.7117,0.7239,0.7202,0.7125,228878
1583218800,0.6901,0.7154,0.7145,0.6972,106854
1583222400,0.6901,0.6986,0.6971,0.6955,79957
1583226000,0.6901,0.7049,0.694,0.698,43054
1583229600,0.698,0.718,0.6981,0.7119,80196
1583233200,0.7012,0.7138,0.7116,0.7046,87345
1583236800,0.69,0.7085,0.7067,0.69,295958
1583240400,0.69,0.6961,0.6901,0.6901,295838
1583244000,0.6676,0.692,0.692,0.67,678602
1583247600,0.6601,0.6913,0.6695,0.6718,639574
1583251200,0.65,0.6786,0.6733,0.6567,687305
1583254800,0.65,0.6617,0.6567,0.6536,310851
1583258400,0.6419,0.6685,0.6534,0.6659,679755
1583262000,0.6513,0.6689,0.6689,0.6627,288925
1583265600,0.6593,0.668,0.6627,0.6631,195056
1583269200,0.6441,0.6649,0.6618,0.6524,516085
1583272800,0.6503,0.6689,0.6506,0.666,250280
1583276400,0.6566,0.6699,0.666,0.663,227493
1583280000,0.6483,0.6652,0.6621,0.6483,176452
1583283600,0.6143,0.6503,0.6483,0.6417,1646058
1583287200,0.634,0.6616,0.6406,0.6575,514968
1583290800,0.6511,0.6617,0.6575,0.6551,261541
1583294400,0.6342,0.655,0.655,0.6484,487903
1583298000,0.6343,0.652,0.6484,0.642,237925
1583301600,0.6264,0.647,0.6436,0.6326,341650
1583305200,0.6305,0.6401,0.6311,0.6373,98890
1583308800,0.6348,0.652,0.6402,0.6467,134899
1583312400,0.6305,0.6496,0.6496,0.6319,91087
1583316000,0.6305,0.6398,0.6306,0.6306,91402
1583319600,0.6245,0.6358,0.6325,0.6286,179961
1583323200,0.6107,0.6281,0.6281,0.616,291206
1583326800,0.6182,0.6308,0.6182,0.6274,154023
1583330400,0.6204,0.628,0.627,0.6218,338617
1583334000,0.6116,0.6264,0.622,0.621,274068
1583337600,0.614,0.622,0.621,0.6167,224231
1583341200,0.6129,0.6223,0.6146,0.6208,156495
1583344800,0.6166,0.6249,0.6191,0.6243,197031
1583348400,0.6234,0.6881,0.6234,0.6796,1829591
1583352000,0.6673,0.7196,0.6779,0.7169,2635264
1583355600,0.6704,0.719,0.7126,0.6713,1438190
1583359200,0.6692,0.7064,0.6713,0.6808,670150
1583362800,0.6758,0.6926,0.6828,0.6827,571444
1583366400,0.6751,0.7025,0.679,0.69,366903
1583370000,0.6684,0.6924,0.6901,0.6761,388622
1583373600,0.6709,0.6851,0.6755,0.6709,399309
1583377200,0.6599,0.6777,0.6726,0.6616,482399
1583380800,0.6509,0.6686,0.6619,0.665,430224
1583384400,0.6646,0.69,0.6678,0.6784,422128
1583388000,0.662,0.682,0.6794,0.6739,262019
1583391600,0.6662,0.6881,0.6744,0.6856,358915
1583395200,0.6818,0.725,0.6846,0.7247,537888
1583398800,0.6929,0.7248,0.7248,0.7009,338774
1583402400,0.6782,0.707,0.7001,0.6876,194641
1583406000,0.6823,0.715,0.6876,0.7071,289647
1583409600,0.699,0.7074,0.7071,0.7057,152223
1583413200,0.6957,0.7402,0.7059,0.6957,1455676
1583416800,0.7013,0.7199,0.7066,0.7165,326995
1583420400,0.7113,0.748,0.7165,0.7366,838124
1583424000,0.7338,0.7739,0.7362,0.7656,1341602
