time,low,high,open,close,volume
1546300800,29.43,29.99,29.78,29.85,11585.97901155
1546304400,29.31,29.86,29.84,29.57,11056.33249173
1546308000,29.49,29.64,29.57,29.62,7515.43080368
1546311600,29.11,29.62,29.61,29.61,13340.12161421
1546315200,29.52,29.98,29.62,29.69,13752.57872632
1546318800,29.69,29.92,29.72,29.91,3137.57171314
1546322400,29.91,30.01,29.92,29.99,4210.1724206
1546326000,29.99,30.31,30,30.2,8980.32477789
1546329600,30.19,30.64,30.2,30.48,3187.17857113
1546333200,30.21,30.48,30.48,30.21,1647.67406202
1546336800,30.21,30.42,30.21,30.42,1359.79798894
1546340400,30.4,30.6,30.44,30.46,840.08065683
1546344000,30.35,30.47,30.47,30.47,986.59820772
1546347600,30.46,30.74,30.46,30.63,3454.95503998
1546351200,30.24,30.63,30.62,30.27,3796.52327268
1546354800,30.02,30.34,30.26,30.14,4875.27711021
1546358400,30.02,30.32,30.13,30.28,3043.67690647
1546362000,30.13,30.44,30.29,30.22,4343.80207164
1546365600,29.9,30.23,30.22,29.96,5150.10228563
1546369200,29.96,30.5,29.97,30.5,5264.30397988
1546372800,30.49,31.55,30.49,31.4,20243.21591136
1546376400,31.06,31.62,31.4,31.15,12929.93119539
1546380000,31,31.28,31.14,31.17,8115.78812319
1546383600,31.15,31.96,31.17,31.68,11023.76490324
1546387200,31.62,31.85,31.68,31.73,6787.24272601
1546390800,31.49,31.73,31.7,31.5,3464.29344419
1546394400,31.48,31.61,31.49,31.54,2277.9069942
1546398000,31.5,31.7,31.54,31.61,4695.29553509
1546401600,31.49,31.62,31.6,31.53,4525.07743386
1546405200,31.48,31.58,31.53,31.52,1953.43203979
1546408800,31.33,31.52,31.51,31.41,2561.82058067
1546412400,31.41,31.77,31.41,31.75,4544.26087946
1546416000,31.75,31.99,31.75,31.95,5340.08400883
1546419600,31.84,32.09,31.93,31.95,3588.33018815
1546423200,31.89,32.27,31.95,32.27,5125.75690809
1546426800,32.17,32.46,32.27,32.28,2895.59796609
1546430400,32.08,32.28,32.28,32.2,3818.6969146
1546434000,32.19,32.6,32.19,32.51,7478.89059761
1546437600,32.1,32.6,32.52,32.31,7269.58196407
1546441200,32,32.38,32.31,32.07,7347.99010337
1546444800,32,32.98,32.07,32.58,12075.99398677
1546448400,32.4,32.69,32.58,32.62,7370.25618359
1546452000,32.43,32.64,32.61,32.54,5059.59312091
1546455600,32.45,32.67,32.54,32.63,4934.34567303
1546459200,32.57,32.99,32.63,32.88,5633.79205012
1546462800,32.73,33.13,32.87,33.05,10840.46758422
1546466400,32.85,33.29,33.03,33.29,8955.29654219
1546470000,32.92,33.64,33.24,32.94,20812.6899054
1546473600,32.76,33.1,32.93,32.77,7617.87214949
1546477200,32.51,32.79,32.77,32.74,8614.89025546
1546480800,32.7,32.82,32.73,32.78,4115.81871024
1546484400,32.61,32.8,32.78,32.7,3573.67888729
1546488000,32.66,32.93,32.7,32.71,3036.33361513
1546491600,32.23,32.75,32.72,32.54,7089.23737733
1546495200,32.44,32.68,32.54,32.64,2165.37712828
1546498800,32.61,32.69,32.62,32.64,1071.22801041
1546502400,32.18,32.65,32.64,32.18,3171.74758361
1546506000,32.01,32.3,32.18,32.14,2190.26533994
1546509600,32.12,32.35,32.12,32.27,1514.1614233
1546513200,31.64,32.29,32.29,31.89,7640.37257101
1546516800,31.62,31.97,31.86,31.9,4730.91074114
1546520400,31.8,31.96,31.89,31.95,3646.55762283
1546524000,31.83,31.96,31.95,31.88,3990.37047362
1546527600,31.8,31.93,31.88,31.86,3722.36353829
1546531200,31.01,31.87,31.87,31.02,18642.325578
1546534800,31,31.29,31.02,31.26,6725.38273877
1546538400,31.15,31.32,31.26,31.2,4006.05081443
1546542000,31.03,31.3,31.2,31.14,4797.90215936
1546545600,31.11,31.43,31.15,31.42,4277.68222434
1546549200,31.34,31.47,31.43,31.47,2496.7414183
1546552800,31.37,31.75,31.46,31.7,4518.52149028
1546556400,31.52,31.74,31.71,31.6,3030.26817583
1546560000,31.21,31.61,31.6,31.3,4606.13513345
1546563600,31.31,31.79,31.31,31.68,5800.91134625
1546567200,31.44,31.68,31.67,31.53,3256.72435622
1546570800,31.4,31.91,31.53,31.89,4295.44980993
1546574400,31.85,32.07,31.89,32,8616.879351
1546578000,31.94,32.29,32,32.18,4983.86312887
1546581600,32.04,32.64,32.18,32.44,7670.82443799
1546585200,32.17,32.6,32.45,32.19,4247.14056563
1546588800,32.03,32.32,32.2,32.1,3369.01779861
1546592400,31.82,32.16,32.09,31.9,3285.36532
1546596000,31.78,32.09,31.89,32.03,2581.94709294
1546599600,31.81,32.15,32.03,31.82,1361.80361154
1546603200,31.6,32.04,31.82,31.62,4788.85671437
1546606800,31.5,31.75,31.61,31.5,6731.46438423
1546610400,31.02,31.62,31.5,31.2,8708.13391306
1546614000,31.02,31.38,31.19,31.36,4567.97826769
1546617600,31.01,31.68,31.36,31.61,6425.13310806
1546621200,31.53,31.76,31.62,31.64,4982.43062678
1546624800,31.37,31.78,31.64,31.64,8665.98301368
1546628400,31.6,31.77,31.64,31.66,4706.68316154
1546632000,31.47,32.1,31.65,31.92,7287.06788024
1546635600,31.87,32.38,31.91,32.25,13814.27406124
1546639200,31.91,32.38,32.25,31.98,10614.88306773
1546642800,31.98,32.2,31.99,32.02,5151.92262986
1546646400,32.01,32.98,32.02,32.89,24160.84693453
1546650000,32.65,33.13,32.89,33.06,16072.42747146
1546653600,32.7,33.18,33.04,32.99,11270.65787622
1546657200,32.76,33.01,33.01,32.97,3424.38504163
1546660800,32.87,33.19,32.97,33.01,9240.35974575
1546664400,33.04,33.48,33.06,33.41,7303.74747059
1546668000,32.71,33.44,33.41,32.79,10018.31276968
1546671600,32.6,32.8,32.79,32.67,5642.90195064
1546675200,32.67,33.11,32.67,32.97,3047.84688674
1546678800,32.86,33.06,32.97,32.98,1491.37981989
1546682400,32.5,32.98,32.98,32.97,4309.9127605
1546686000,32.97,34.24,32.97,34.02,23186.49613912
1546689600,33.77,34.43,34.01,34.23,10362.00872191
1546693200,33.85,34.5,34.23,34.38,14893.18177356
1546696800,34.02,35.13,34.38,35,19838.50201039
1546700400,34.9,35.69,35,35.4,38851.2283428
1546704000,34.94,36.11,35.32,35.57,34202.04952054
1546707600,34.95,36.1,35.57,35.01,24150.99035534
1546711200,34.76,35.43,35.03,35.14,15077.45673204
1546714800,35.06,35.5,35.15,35.31,10428.42275464
1546718400,34.76,35.35,35.31,34.96,17818.00810475
1546722000,34.8,35.49,34.96,35.26,12085.17845632
1546725600,34.32,35.3,35.27,34.65,21197.4608174
1546729200,34.23,34.65,34.63,34.48,14557.11597266
1546732800,34.23,35.15,34.48,35.13,12770.42317682
1546736400,34.38,35.17,35.13,34.43,14448.63724792
1546740000,34.06,34.83,34.45,34.78,13596.29203364
1546743600,34.5,35.05,34.78,34.96,9111.98378069
1546747200,34.65,35.03,34.97,34.99,5281.88656215
1546750800,34.99,35.87,34.99,35.55,16057.58110643
1546754400,35.24,35.55,35.55,35.39,5477.96483587
1546758000,34.89,35.39,35.39,35.03,6151.8445064
1546761600,34.76,35.12,35.05,34.93,3628.82531626
1546765200,34.94,35.93,34.94,35.46,10159.36042245
1546768800,35.4,37.83,35.4,37.17,31253.39315126
1546772400,37.03,37.87,37.24,37.54,20963.4894691
1546776000,37.28,38.62,37.54,38,45739.99759622
1546779600,37.27,38,37.96,37.67,16434.28613816
1546783200,37.36,38.08,37.64,37.91,19011.26067558
1546786800,37.88,38.51,37.91,38.25,30745.57745322
1546790400,37.98,38.49,38.25,38.19,18193.45681613
1546794000,38.1,40.12,38.15,39.45,71784.5268142
1546797600,38.94,39.74,39.45,39.05,29597.45018884
1546801200,39.03,39.36,39.05,39.14,10609.95003912
1546804800,38.41,39.29,39.14,38.55,23496.56668065
1546808400,38.33,38.75,38.53,38.62,15087.53099901
1546812000,38.63,39.05,38.63,38.84,15708.70784599
1546815600,38.8,39.29,38.85,38.88,13938.47090067
1546819200,38.88,39.48,38.88,39.03,10641.22425706
1546822800,38.15,39.11,39.04,38.53,21073.87954234
1546826400,37.83,38.62,38.53,38.27,14813.86332585
1546830000,38.17,38.5,38.27,38.31,5977.98332085
1546833600,38.3,38.71,38.3,38.47,9424.98899145
1546837200,38.43,38.75,38.47,38.61,3840.77863842
1546840800,38.49,38.88,38.61,38.68,6274.88237066
1546844400,38.68,39.37,38.68,39.22,7629.81028964
1546848000,38.85,39.22,39.21,38.96,3817.55831176
1546851600,37.55,38.98,38.93,37.89,21795.27704352
1546855200,37.3,38.5,37.82,37.66,13905.56980199
1546858800,37.65,38.23,37.65,38.15,3096.40154853
1546862400,37.69,38.2,38.14,37.75,7256.53031621
1546866000,37.63,38.02,37.7,38,4302.54673807
1546869600,37.9,38.4,38.01,38.24,8322.8529633
1546873200,37.78,38.46,38.24,37.83,9133.83524561
1546876800,37.71,37.97,37.84,37.82,5370.1244099
1546880400,37.21,37.93,37.81,37.87,17027.48781963
1546884000,37.65,38.2,37.87,38.14,12898.98889471
1546887600,37.88,38.21,38.14,38.18,10293.90433206
1546891200,37.95,38.19,38.18,37.96,7047.97514364
1546894800,37.95,38.15,37.96,37.96,5709.66869357
1546898400,37.3,38.02,37.96,37.43,21172.39174508
1546902000,37.25,37.73,37.37,37.71,8875.12595838
1546905600,37.65,38.93,37.66,38.62,35424.95692949
1546909200,38.2,38.57,38.56,38.42,9288.84840756
1546912800,37.52,38.42,38.42,38.13,20657.91111422
1546916400,37.71,38.17,38.11,37.89,6828.51859385
1546920000,37.72,38.2,37.89,38.03,7567.66817694
1546923600,37.93,38.18,38.04,38.13,5595.96722497
1546927200,37.97,38.46,38.13,38.45,5786.91240592
1546930800,38.2,38.62,38.39,38.29,4047.64359017
1546934400,38.23,38.74,38.3,38.6,3302.26352819
1546938000,38.61,39.7,38.61,39.5,26314.32258713
1546941600,39.15,39.61,39.53,39.6,7705.45605832
1546945200,39.15,39.9,39.59,39.75,11738.35554966
1546948800,39.21,39.78,39.76,39.56,21640.42814836
1546952400,39.56,40.95,39.56,40.94,30477.73567
1546956000,40.3,41.27,40.86,40.43,40129.61390029
1546959600,40.1,41.15,40.43,40.11,29214.09129262
1546963200,39.22,40.19,40.1,39.34,35792.24192307
1546966800,39.01,39.59,39.34,39.02,8641.78277724
1546970400,39.01,39.24,39.02,39.08,6336.68063874
1546974000,38.95,39.45,39.06,39.35,11306.72676778
1546977600,39.12,39.59,39.35,39.12,12610.64340465
1546981200,38.94,39.25,39.16,38.99,16901.5736901
1546984800,38.83,39.09,38.99,38.97,7410.40286736
1546988400,38.97,39.35,38.97,39.13,5826.69081307
1546992000,38.93,39.48,39.13,39.24,10789.74645551
1546995600,39.1,40.03,39.23,39.76,17045.48057458
1546999200,39.62,40,39.78,39.64,10526.39518336
1547002800,39.6,39.97,39.63,39.61,13658.86918729
1547006400,39.6,39.81,39.61,39.7,5268.95548718
1547010000,39.22,39.72,39.7,39.42,8838.05220727
1547013600,39.05,39.45,39.42,39.14,4098.53242704
1547017200,39.06,39.44,39.13,39.25,3374.33483687
1547020800,38.93,39.28,39.24,39.12,5719.96467833
1547024400,39.08,39.35,39.13,39.23,1961.96486195
1547028000,39.08,39.3,39.23,39.3,1584.9509614
1547031600,39.26,39.66,39.3,39.52,3899.87443082
1547035200,38.96,39.52,39.51,39.2,4485.47685992
1547038800,38.31,39.21,39.2,38.73,15106.16572895
1547042400,38.4,38.75,38.73,38.54,7166.95748319
1547046000,38.41,38.75,38.54,38.66,6312.67842068
1547049600,38.66,39.05,38.66,38.98,8840.27216938
1547053200,38.68,39,38.97,38.9,5464.55544806
1547056800,38.8,38.96,38.89,38.93,2226.23181574
1547060400,38.81,39.23,38.92,39.21,4732.74287103
1547064000,38.88,39.21,39.19,38.95,2614.3977825
1547067600,38.85,39.32,38.96,39.1,12452.26210344
1547071200,38.85,39.2,39.1,38.89,8757.71131023
1547074800,38.53,38.9,38.89,38.58,3134.1557551
1547078400,38.54,39.04,38.58,38.88,5976.45437536
1547082000,38.9,39.25,38.9,38.99,4276.02378852
1547085600,38.8,39,38.99,38.85,2982.21786241
1547089200,38.82,39.02,38.85,38.82,4548.43297041
1547092800,38.8,38.88,38.82,38.86,9273.11520165
1547096400,38.8,38.93,38.88,38.81,4983.10332296
1547100000,35.09,38.84,38.81,35.7,95135.36232912
1547103600,35.05,35.7,35.7,35.49,16119.74934165
1547107200,35.03,35.81,35.49,35.03,12104.14538551
1547110800,33.8,35.14,35.1,33.87,34426.49875492
1547114400,33.75,34.54,33.91,34.11,10067.34829205
1547118000,34.07,34.76,34.14,34.68,9814.70303817
1547121600,34.17,34.78,34.69,34.3,9969.29641555
1547125200,33.44,34.38,34.3,34.22,25487.59338272
1547128800,33.84,34.36,34.2,34.29,14727.03411684
1547132400,34.1,34.58,34.28,34.34,10478.65986935
1547136000,31.91,34.31,34.31,32.8,77051.1244993
1547139600,32.4,32.85,32.8,32.65,20597.35800328
1547143200,32.5,32.84,32.63,32.72,15481.90344337
1547146800,32.02,33.42,32.73,33.22,31067.31664651
1547150400,33.17,33.95,33.22,33.49,28448.51387166
1547154000,33.15,33.5,33.45,33.34,7451.86462632
1547157600,33.07,33.45,33.34,33.4,8407.83769624
