time,low,high,open,close,volume
1606932000,0.1115,0.1185,0.1156,0.1131,10988558.059189
1606935600,0.1065,0.1131,0.1131,0.1095,10562225.176339
1606939200,0.1072,0.116,0.1094,0.1082,6413528.46937
1606942800,0.108,0.1135,0.1085,0.1121,7419922.434987
1606946400,0.112,0.1245,0.1122,0.119,18178166.146747
1606950000,0.1105,0.123,0.1191,0.1155,8191771.971299
1606953600,0.103,0.1157,0.1154,0.1096,9193524.472981
1606957200,0.1075,0.1125,0.1095,0.1087,4352639.972473
1606960800,0.1053,0.1114,0.1087,0.1055,3250048.345344
1606964400,0.1052,0.1093,0.1054,0.1067,2966753.292274
1606968000,0.1065,0.1094,0.1066,0.1067,2882621.305448
1606971600,0.1064,0.1093,0.1067,0.1065,2871828.555762
1606975200,0.1062,0.1089,0.1066,0.1062,1937814.789329
1606978800,0.1062,0.1083,0.1062,0.1066,1572383.155882
1606982400,0.1056,0.1089,0.1064,0.1068,1833456.682384
1606986000,0.1056,0.1085,0.1068,0.1063,1764231.358482
1606989600,0.104,0.1071,0.1069,0.1061,2494343.609823
1606993200,0.1062,0.108,0.1062,0.1077,662667.266053
1606996800,0.1077,0.112,0.1077,0.1091,2242172.99508
1607000400,0.108,0.115,0.1092,0.1144,2454280.11171
1607004000,0.1125,0.1168,0.1144,0.1141,3685374.622451
1607007600,0.112,0.1159,0.1136,0.1149,1822983.886363
1607011200,0.11,0.1157,0.1149,0.1137,4679615.813223
1607014800,0.113,0.1193,0.1137,0.1188,2754905.833187
1607018400,0.1179,0.135,0.1188,0.135,16659217.284065
1607022000,0.134,0.167,0.135,0.167,72444203.524321
1607025600,0.161,0.228,0.1645,0.2097,95182145.756156
1607029200,0.1685,0.2108,0.2098,0.1805,57168433.673715
1607032800,0.172,0.201,0.1804,0.1989,30241699.660073
1607036400,0.1765,0.1989,0.1989,0.1853,21338885.519872
1607040000,0.1809,0.1946,0.1853,0.1923,12267742.517133
1607043600,0.1903,0.1989,0.1922,0.198,12605126.758669
1607047200,0.1865,0.198,0.1976,0.1874,8872057.114578
1607050800,0.1873,0.1967,0.1874,0.1957,7135673.145772
1607054400,0.1914,0.225,0.1957,0.219,35768916.241973
1607058000,0.1975,0.235,0.219,0.2125,39820610.939018
1607061600,0.2078,0.2245,0.2125,0.2137,14317405.451679
1607065200,0.201,0.2165,0.2138,0.2106,7621389.40787
1607068800,0.208,0.2225,0.2112,0.216,7029635.95485
1607072400,0.2103,0.22,0.2161,0.2151,4634457.169855
1607076000,0.1905,0.218,0.2151,0.1944,12204486.285108
1607079600,0.191,0.2088,0.1958,0.2002,6584017.88344
1607083200,0.1966,0.2172,0.2026,0.2153,9870044.645554
1607086800,0.2003,0.217,0.2153,0.2015,8184219.030172
1607090400,0.2,0.214,0.2015,0.2094,8254635.455519
1607094000,0.2017,0.215,0.2094,0.2144,6929889.037099
1607097600,0.211,0.254,0.2145,0.2372,46671910.595813
1607101200,0.2255,0.2439,0.2373,0.2341,23869770.357776
1607104800,0.226,0.2423,0.2341,0.2372,14529926.606318
1607108400,0.2315,0.245,0.2372,0.2427,10090728.059655
1607112000,0.2429,0.2995,0.2444,0.2989,92361212.141748
1607115600,0.2588,0.41,0.2989,0.2782,166183409.424064
1607119200,0.24,0.314,0.2773,0.2972,63715411.879978
1607122800,0.2751,0.3382,0.2981,0.3271,48533848.667092
1607126400,0.3005,0.3701,0.327,0.3168,63277500.673545
1607130000,0.2875,0.325,0.3168,0.3079,32001790.52851
1607133600,0.279,0.3149,0.3077,0.294,17560407.335373
1607137200,0.284,0.3055,0.2939,0.2866,12502122.391705
1607140800,0.2533,0.29,0.2872,0.2881,28460611.203714
1607144400,0.2634,0.2886,0.2881,0.2759,12771368.616262
1607148000,0.273,0.2988,0.2756,0.2827,14103887.658631
1607151600,0.271,0.2829,0.2826,0.2712,4081744.551765
1607155200,0.2652,0.279,0.2712,0.2696,5499896.93391
1607158800,0.2678,0.3099,0.2688,0.2938,11126737.916491
1607162400,0.2886,0.3137,0.2937,0.3075,8343450.177239
1607166000,0.2937,0.3099,0.3075,0.3086,4513466.258027
1607169600,0.3014,0.322,0.3086,0.3204,9240529.416717
1607173200,0.3174,0.345,0.3204,0.3433,19892681.724733
1607176800,0.32,0.355,0.3433,0.341,26097504.431035
1607180400,0.33,0.353,0.341,0.347,17009787.984359
1607184000,0.3225,0.3478,0.347,0.3309,16329653.406011
1607187600,0.3288,0.341,0.3308,0.332,8795568.012907
1607191200,0.305,0.332,0.3319,0.3214,18879605.743199
1607194800,0.312,0.3309,0.3205,0.3285,10436798.526437
1607198400,0.3256,0.3379,0.3281,0.3323,7738848.657548
1607202000,0.3065,0.3325,0.3323,0.3148,16354967.246404
1607205600,0.28,0.3155,0.3146,0.2948,21650172.082979
1607209200,0.2807,0.3066,0.2946,0.2888,17932269.604972
1607212800,0.2646,0.2948,0.2889,0.2648,19224311.017896
1607216400,0.2644,0.3165,0.2648,0.3125,27328828.607665
1607220000,0.29,0.315,0.3122,0.2941,13476652.018135
1607223600,0.29,0.306,0.2935,0.301,7886319.357446
1607227200,0.2909,0.3093,0.301,0.2976,7246025.348974
1607230800,0.2954,0.308,0.2985,0.2954,3661610.426468
1607234400,0.2801,0.2977,0.2954,0.2891,4310295.126583
