time,low,high,open,close,volume
1576512000,0.4238,0.465,0.425,0.465,1408902
1576515600,0.389,0.4649,0.4648,0.4185,924356
1576519200,0.3512,0.4196,0.4185,0.3572,622135
1576522800,0.3521,0.3852,0.3572,0.3742,343927
1576526400,0.3548,0.3758,0.3742,0.3594,117495
1576530000,0.3501,0.365,0.3594,0.3621,144034
1576533600,0.355,0.3724,0.3631,0.3671,91717
1576537200,0.3663,0.3679,0.3671,0.3679,39031
1576540800,0.36,0.3686,0.3679,0.36,54367
1576544400,0.36,0.3637,0.36,0.361,45037
1576548000,0.3328,0.3622,0.3621,0.3411,238360
1576551600,0.3398,0.3511,0.34,0.3436,79569
1576555200,0.332,0.3445,0.3445,0.3367,94478
1576558800,0.3145,0.3368,0.3357,0.323,273102
1576562400,0.3276,0.3496,0.3276,0.3455,140372
1576566000,0.3175,0.35,0.3457,0.3344,442123
1576569600,0.3275,0.359,0.3348,0.333,273870
1576573200,0.3327,0.337,0.333,0.3351,26705
1576576800,0.3351,0.3404,0.3361,0.3366,16363
1576580400,0.3336,0.3366,0.3364,0.3346,29596
1576584000,0.3318,0.3391,0.3347,0.3318,40408
1576587600,0.315,0.3356,0.3322,0.3356,197377
1576591200,0.3175,0.3547,0.3365,0.3427,204192
1576594800,0.3347,0.3437,0.3427,0.3367,31556
1576598400,0.3268,0.3367,0.3367,0.3348,71586
1576602000,0.3304,0.3489,0.3327,0.3393,52748
1576605600,0.339,0.3414,0.3398,0.3405,32861
1576609200,0.317,0.3402,0.3392,0.3188,130454
1576612800,0.3102,0.3205,0.3187,0.3162,102978
1576616400,0.31,0.3178,0.3162,0.3153,103777
1576620000,0.29,0.3329,0.3163,0.3012,277850
1576623600,0.2918,0.3279,0.2986,0.3062,103208
1576627200,0.2999,0.3124,0.3062,0.3004,39555
1576630800,0.3049,0.3074,0.307,0.3054,10161
1576634400,0.2924,0.3058,0.3058,0.3045,49140
1576638000,0.304,0.3055,0.3045,0.3049,15504
