time,low,high,open,close,volume
1554829200,20.61,20.78,20.78,20.61,339.875315
1554832800,20.69,20.78,20.69,20.78,70.874629
1554836400,20.57,20.8,20.76,20.57,545.17757
1554840000,20.56,20.81,20.57,20.79,29.77957
1554843600,20.77,20.84,20.84,20.8,50.650922
1554847200,20.7,20.87,20.77,20.7,19.980111
1554850800,20.57,20.73,20.69,20.62,92.215645
1554854400,20.29,20.59,20.53,20.32,287.409454
1554858000,20.22,20.5,20.25,20.5,88.317839
1554861600,20.44,20.51,20.5,20.49,148.865385
1554865200,20.32,20.5,20.5,20.32,111.088824
1554868800,20.32,20.5,20.32,20.34,8.451145
1554872400,20.31,20.35,20.35,20.31,27.699387
1554876000,20.34,20.49,20.36,20.49,17.894129
1554879600,20.5,20.5,20.5,20.5,11
1554883200,20.33,20.5,20.48,20.46,104.36044
1554890400,20.39,20.39,20.39,20.39,2.054696
1554894000,20.32,20.42,20.42,20.36,105.18202
1554897600,20.35,20.46,20.38,20.35,154.929794
1554901200,20.27,20.35,20.35,20.27,48.425125
1554904800,20.27,20.37,20.27,20.35,4.470847
1554908400,20.3,20.43,20.31,20.43,56.785958
1554912000,20.4,20.44,20.43,20.4,16.660014
1554915600,20.42,20.49,20.43,20.47,63.857043
1554919200,20.36,20.78,20.4,20.36,463.609067
1554922800,20.36,20.48,20.38,20.37,56.870194
1554926400,19.56,20.3,20.3,20.1,1107.942616
1554930000,19.66,20.13,20.12,19.78,300.301203
1554933600,19.72,19.79,19.78,19.73,129.977057
1554937200,19.8,19.85,19.83,19.82,47.276699
1554940800,19.56,19.9,19.9,19.56,338.289348
1554944400,19.5,19.61,19.57,19.5,111.065366
1554948000,19.21,19.45,19.4,19.21,406.300105
1554951600,18.32,19.19,19.19,18.37,307.379285
1554955200,18.26,18.44,18.3,18.44,107.541243
1554958800,18.2,18.32,18.26,18.3,40.5835
1554962400,18.3,18.4,18.36,18.39,42.909697
1554966000,18.22,18.3,18.22,18.3,233.6278
1554969600,17.94,18.26,18.2,18.26,297.25998
1554973200,17.76,18.23,18.23,17.76,98.8042
1554976800,17.5,17.91,17.71,17.5,272.076671
1554980400,17.18,17.57,17.5,17.57,351.705044
1554984000,17.48,17.71,17.71,17.59,292.732671
1554987600,17.68,17.72,17.72,17.68,5.320687
1554991200,17.99,18.09,18.05,17.99,9.273299
1554994800,18.03,18.24,18.18,18.21,67.421215
1554998400,18.04,18.18,18.17,18.18,321.296707
1555002000,18.16,18.26,18.17,18.18,18.852282
1555005600,18,18.22,18.12,18.22,1218.107199
1555009200,18.09,18.25,18.21,18.25,21.100962
1555012800,18.29,18.41,18.3,18.41,132.22033
1555016400,18.01,18.39,18.39,18.05,33.92718
1555020000,18,18.26,18.01,18.16,354.828258
1555023600,18.18,18.38,18.18,18.23,282.516839
1555027200,18.16,18.21,18.16,18.16,14.46284
1555030800,17.98,18.28,18.17,18,782.89274
1555034400,17.8,18.18,18.06,18.15,719.358548
1555038000,18.2,18.5,18.2,18.5,46.483018
1555041600,18.41,18.56,18.52,18.55,181.058137
1555045200,18.39,18.57,18.57,18.39,18.642365
1555048800,18.41,18.77,18.49,18.77,33.185082
1555052400,18.82,19.4,18.82,18.99,109.761081
1555056000,18.97,19.15,19.02,19.15,53.526156
1555059600,19.64,20.68,19.64,20.26,1268.758819
1555063200,19.7,20.28,20.28,19.72,676.775923
1555066800,19.73,20.03,19.82,19.98,895.738682
1555070400,19.61,19.83,19.83,19.79,279.064815
1555074000,19.39,19.82,19.82,19.47,662.404882
1555077600,19.47,19.47,19.47,19.47,5.708261
1555081200,19.25,19.46,19.39,19.32,489.871009
1555084800,19.37,19.37,19.37,19.37,1.825
1555088400,19.36,20.26,19.39,19.91,1419.264251
1555092000,19.93,20.23,19.99,19.94,781.749603
1555095600,19.73,19.93,19.93,19.77,25.336832
1555099200,19.44,19.6,19.6,19.55,145.291035
