time,low,high,open,close,volume
1599584400,16.222,16.998,16.931,16.595,21433.639
1599588000,16,16.784,16.55,16.212,16434.491
1599591600,16,16.604,16.212,16.001,10641.793
1599595200,15.66,16.1,16.001,15.899,4862.608
1599598800,15.801,16.275,15.83,16.05,4721.368
1599602400,15.66,16.487,16.104,15.999,3833.239
1599606000,15.65,16,15.78,15.75,1703.74
1599609600,15.249,15.758,15.751,15.75,4132.593
1599613200,15.522,16.47,15.625,15.86,4332.644
1599616800,15.694,16.12,15.818,15.84,6475.576
1599620400,15.291,15.861,15.84,15.414,4896.496
1599624000,15.171,16.121,15.3,15.701,6528.827
1599627600,15.113,16.99,15.701,16.989,5533.94
1599631200,16.456,17.1,16.769,16.974,6962.118
1599634800,16.75,17.179,16.944,16.75,4701.76
1599638400,16.625,17.25,16.75,16.964,2855.318
1599642000,15.801,16.964,16.964,16.307,3818.977
1599645600,15.551,16.27,16,15.872,4094.548
1599649200,15.562,16.281,15.903,15.88,8510.034
1599652800,15.322,15.965,15.891,15.65,6273.923
1599656400,15.288,16.372,15.589,16.166,10442.142
1599660000,15.751,16.376,16.211,15.98,5743.806
1599663600,15.68,16.13,15.979,15.72,2533.617
1599667200,15.721,16,15.849,15.83,2136.09
1599670800,15.83,16.12,15.83,16.003,2330.946
1599674400,15.927,16.49,15.981,16.371,5525.94
1599678000,16.1,16.979,16.381,16.119,16548.001
1599681600,16,16.36,16.187,16.156,3357.544
1599685200,16.1,16.405,16.1,16.282,4523.782
1599688800,16.125,16.403,16.32,16.361,956.35
1599692400,16.044,16.361,16.361,16.239,2888.853
1599696000,15.933,16.4,16.229,16.211,6488.765
1599699600,16.195,16.49,16.217,16.49,4275.051
1599703200,16.239,16.94,16.487,16.75,3810.267
1599706800,16.5,16.957,16.933,16.805,6541.576
1599710400,16.582,16.99,16.805,16.99,3052.599
1599714000,16.596,16.99,16.899,16.883,2573.165
1599717600,16.623,16.99,16.883,16.794,1572.446
1599721200,16.333,16.79,16.78,16.459,2163.006
1599724800,16.3,16.599,16.4,16.483,845.875
1599728400,16.258,16.599,16.469,16.527,629.164
1599732000,16.52,16.879,16.527,16.677,182.309
1599735600,16.42,16.949,16.676,16.616,921.67
1599739200,16.31,17.297,16.616,16.771,4481.724
1599742800,16.701,17.265,16.912,17.245,4772.768
1599746400,16.55,17.233,17.011,16.627,4753.002
1599750000,16.552,17.199,16.556,17.01,5952.747
1599753600,16.65,17.031,17.01,16.702,9889.912
1599757200,16.532,17.282,16.702,16.991,24311.09
1599760800,16.4,17.327,16.991,17.057,80253.708
1599764400,16.787,17.25,17.057,16.835,46483.852
1599768000,16.835,17.46,16.999,17.099,43083.785
1599771600,16.956,17.49,17.099,17.263,34431.602
1599775200,16.824,17.29,17.262,17.065,21823.359
1599778800,16.565,17.15,16.898,16.971,22873.953
1599782400,16.755,17.15,16.97,17.15,12948.497
1599786000,16.805,17.284,17.149,17.2,21964.201
1599789600,16.85,17.257,17.2,16.989,12174.692
1599793200,16.319,16.989,16.866,16.547,26984.888
1599796800,16.2,16.712,16.384,16.572,12012.157
1599800400,15.304,16.572,16.572,15.74,19745.43
1599804000,15.527,16.442,15.617,16.442,11319.859
1599807600,15.862,16.84,16.442,16.594,9815.886
1599811200,16.251,17.1,16.268,17.027,9811.874
1599814800,16.753,17.115,17.024,17.001,4223.727
1599818400,16.702,17.25,17.114,16.999,11706.705
1599822000,16.65,17.49,16.999,16.9,11257.36
1599825600,16.652,17.22,16.999,16.946,7531.042
1599829200,16.533,16.999,16.899,16.912,13831.358
1599832800,16.706,17,16.865,17,6471.481
1599836400,16.843,17.25,17,17.146,10654.611
1599840000,16.981,17.2,17.047,17.147,8569.094
1599843600,16.991,17.49,17.068,17.255,12920.06
1599847200,17.111,17.98,17.255,17.801,23824.224
1599850800,17.28,17.801,17.801,17.436,10853.379
1599854400,17.296,17.76,17.436,17.644,12258.822
1599858000,17.14,17.847,17.469,17.844,14721.783
1599861600,17.55,18.191,17.844,17.937,18981.688
1599865200,17.494,18,17.851,17.649,11980.431
1599868800,17.448,18.001,17.559,18.001,9712.501
1599872400,17.401,18.06,18.001,17.74,11010.313
1599876000,17.3,17.781,17.621,17.45,7611.542
1599879600,17.2,18.1,17.446,17.801,13751.349
1599883200,17.7,18.055,17.817,17.997,8451.071
1599886800,17.718,18.451,17.997,18.192,13891.603
1599890400,17.67,18.382,18.192,17.859,15346.516
1599894000,17.701,18.066,17.859,17.999,5984.986
1599897600,17.822,18.381,18.049,17.84,7853.184
1599901200,17.816,18.031,17.88,17.851,3190.151
1599904800,17.812,18.031,17.851,17.998,4103.386
1599908400,17.584,18,17.963,17.799,4799.125
1599912000,17.621,18,17.801,17.728,7740.28
1599915600,17.714,18.148,17.765,17.772,5678.072
1599919200,17.769,18.305,17.78,17.922,6022.993
1599922800,17.8,18.197,17.922,18.195,9126.846
1599926400,18.08,18.749,18.195,18.515,18556.398
1599930000,18.289,19.2,18.502,19.06,31041.228
1599933600,18.663,19.66,18.93,19.575,40398.106
1599937200,18.85,19.85,19.408,19.704,37864.964
1599940800,19.095,19.9,19.702,19.497,29995.488
1599944400,18.858,19.619,19.496,18.985,24487.836
1599948000,18.62,19.641,18.88,19.318,27289.315
1599951600,18.663,19.589,19.318,18.826,13996.185
1599955200,18.803,19.32,18.803,18.947,8821.885
1599958800,18.397,19.125,18.938,18.568,11359.337
1599962400,17.785,18.62,18.62,17.978,22296.06
1599966000,17.4,17.967,17.964,17.511,12943.756
1599969600,17.511,17.948,17.569,17.948,9538.495
1599973200,17.674,18.07,17.773,18.069,4803.509
1599976800,17.66,18.087,18.069,17.819,4903.454
1599980400,17.321,17.881,17.688,17.603,15359.189
1599984000,17.414,17.99,17.603,17.985,6033.996
1599987600,17.794,18.289,17.956,17.884,9150.49
1599991200,17.604,18.05,17.884,17.828,4800.96
1599994800,16.812,17.862,17.749,17.081,8272.589
1599998400,16.75,17.484,16.94,17.019,13931.907
1600002000,16.75,17.206,17.017,17,9529.533
1600005600,16.45,17.242,17.081,16.832,8141.411
1600009200,16.373,17.212,16.875,16.548,10687.689
1600012800,15.85,16.818,16.486,16.464,21425.914
1600016400,16.016,16.67,16.311,16.378,13841.814
1600020000,16.36,16.831,16.379,16.515,10646.925
1600023600,16.27,17.091,16.505,16.965,11792.604
1600027200,16.598,17.4,16.949,16.996,10886.943
1600030800,16.847,17.5,16.87,17.251,13232.61
