time,low,high,open,close,volume
1607450400,71.72,73.06,72.45,71.72,4661.48229
1607454000,71.39,72.27,71.73,71.44,2055.55529
1607457600,70.02,71.6,71.42,70.1,2296.9095
1607461200,69.71,70.73,70.03,70.32,1095.37348
1607464800,69,70.78,70.48,69,507.04416
1607468400,68.65,69.87,69,69.58,995.23807
1607472000,68.95,69.96,69.58,69.22,836.41402
1607475600,68.8,69.66,69.24,69.14,844.94552
1607479200,69.01,70.08,69.16,69.83,1700.31116
1607482800,69.35,69.95,69.66,69.95,268.42381
1607486400,69.22,70.21,69.95,69.65,2515.32941
1607490000,69.46,70.05,69.66,70,231.99174
1607493600,70.02,70.97,70.02,70.42,268.69459
1607497200,68.86,70.66,70.56,68.86,529.17846
1607500800,66,69.24,68.86,67.37,1501.74931
1607504400,67.17,68.06,67.26,68.02,319.66201
1607508000,67.37,68.54,67.98,68.54,368.51271
1607511600,68.35,69.18,68.56,69.01,317.39626
1607515200,68.36,69.61,68.87,68.52,487.23157
1607518800,68.35,69.77,68.68,69.77,186.20817
1607522400,69.2,69.95,69.78,69.53,491.99056
1607526000,68.78,69.63,69.53,68.95,287.98499523
1607529600,68.52,69.67,68.91,69.65,661.11753953
1607533200,69.21,70.11,69.57,69.5,1918.43330956
1607536800,68.37,69.69,69.49,68.93,786.20320119
1607540400,68.83,69.38,68.97,69.1,1487.14014436
1607544000,67.83,69.15,69.1,68.27,1399.55717108
1607547600,68.34,69.2,68.35,69.05,1458.00277078
1607551200,68.8,69.98,69.05,69.23,1532.60497032
1607554800,69.14,69.63,69.24,69.47,280.28036551
1607558400,68.7,69.82,69.48,68.95,359.84616
1607562000,68.66,69.22,68.9,69.16,180.6715454
1607565600,68.55,69.43,69.2,68.77,1021.09161595
1607569200,68.58,69.18,68.79,68.66,250.34064532
1607572800,68.53,69.08,68.58,68.67,274.40281943
1607576400,68.16,68.75,68.57,68.37,1136.61742
1607580000,67.63,68.39,68.28,67.63,218.04584383
1607583600,67.62,68.15,67.62,68.04,539.64980453
1607587200,67.89,68.69,67.91,68.3,287.29795
1607590800,67.34,68.63,68.3,67.35,511.95014
1607594400,67.19,67.68,67.35,67.28,208.74451198
1607598000,67.22,67.75,67.31,67.42,549.11189571
1607601600,67.37,68.04,67.37,67.56,231.1095579
1607605200,67.05,68.1,67.68,68.1,568.0510546
1607608800,66.29,68.15,68.11,66.5,417.94513647
1607612400,66,67.18,66.61,67.05,617.97285863
1607616000,66.66,67.54,66.86,66.69,1203.8371495
1607619600,66.46,66.85,66.69,66.5,373.03140885
1607623200,66.09,66.77,66.57,66.26,896.52742195
1607626800,65.56,66.39,66.27,66.24,908.93612607
1607630400,65.97,66.76,66.35,66.18,938.79896312
1607634000,65.63,66.52,66.19,66.22,1081.54567574
1607637600,65.23,66.17,66.03,65.8,746.3952249
1607641200,65.66,66.28,65.8,65.94,257.80751071
1607644800,64.24,66.2,66.08,64.27,1028.70371897
1607648400,63.91,64.92,64.24,64.5,616.49480551
1607652000,63.92,64.72,64.4,64.11,622.46151351
1607655600,63.64,64.44,64.11,64.36,306.10304399
1607659200,64.12,64.7,64.28,64.33,411.75473287
1607662800,64.02,64.57,64.3,64.09,508.26165251
1607666400,63.87,64.45,64.1,64.22,364.0561634
1607670000,63.29,64.24,64.08,64.14,513.65185938
1607673600,63.79,64.71,64.15,64.15,290.24277
1607677200,63.42,64.06,64.06,63.68,758.17748953
1607680800,63.05,63.8,63.69,63.3,207.05174937
1607684400,62.5,63.3,63.28,62.95,598.90058
1607688000,62.74,64.05,62.96,63.78,395.64775233
1607691600,63.7,64.72,63.74,64.51,179.97762
1607695200,64.17,65.13,64.5,64.89,1398.39728561
1607698800,64.48,65.11,64.96,64.83,326.16762603
1607702400,63.91,64.85,64.48,64.07,692.39372745
1607706000,63.49,64.25,64.14,63.68,498.18391
